,0,1
185,185,"{'size': 1468, 'units': 'sqft'}"
186,186,"{'size': 1056, 'units': 'sqft'}"
187,187,"{'size': 738, 'units': 'sqft'}"
188,188,"{'size': 811, 'units': 'sqft'}"
189,189,"{'size': 1440, 'units': 'sqft'}"
190,190,"{'size': 1170, 'units': 'sqft'}"
191,191,"{'size': 2262, 'units': 'sqft'}"
192,192,"{'size': 948, 'units': 'sqft'}"
193,193,"{'size': 1328, 'units': 'sqft'}"
194,194,"{'size': 2728, 'units': 'sqft'}"
195,195,"{'size': 3822, 'units': 'sqft'}"
196,196,"{'size': 1110, 'units': 'sqft'}"
197,197,"{'size': 1148, 'units': 'sqft'}"
198,198,"{'size': 1122, 'units': 'sqft'}"
