,prop_type,year_built,beds,baths_full,garage,baths_half,price,baths,rank,photo_count,state_code,Property Size(Sq. Ft),Alexandria,Arlington,Brentwood,Capitol Heights,District Heights,Falls Church,Hyattsville,Landover,McLean,Mount Rainier,Suitland,Takoma Park,Temple Hills,University Park,Washington,Time
99,2,1955,6,4,1,0,1275000,4,6,27,1,1601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.0
100,2,1950,3,1,0,1,269900,2,14,10,3,1504,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,104.0
101,1,1918,3,3,0,0,1015000,3,40,34,1,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.0
102,2,1967,4,3,1,1,935000,4,35,33,2,1056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0
103,1,1909,7,4,0,0,1365000,4,5,70,1,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44.0
104,1,1988,2,3,1,0,670000,3,27,23,2,2508,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0
105,1,1965,1,1,0,0,245000,1,2,31,2,1922,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0
106,1,1979,2,2,0,0,320000,2,19,34,2,1652,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92.0
107,2,1939,3,2,0,1,995000,3,2,41,1,1846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.0
108,1,1980,1,1,0,0,420000,1,26,31,1,1513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36.0
109,2,1941,3,2,0,0,475000,2,27,40,3,2309,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48.0
110,1,1941,2,1,0,0,360000,1,9,18,2,715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0
111,2,2019,6,5,2,1,2135000,6,22,35,2,2387,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,307.0
112,1,2010,2,2,0,0,500000,2,1,11,1,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.0
113,1,1996,3,2,2,2,515000,4,3,40,2,3625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0
114,1,1986,4,3,1,1,1105000,4,24,34,2,676,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0
115,1,1950,1,1,0,0,275000,1,12,17,1,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.0
116,1,1959,1,1,0,0,353000,1,8,23,1,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.0
117,1,1911,3,2,0,0,855000,2,37,39,1,2276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.0
118,2,1941,3,3,0,0,689900,3,13,35,2,1917,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135.0
119,1,1959,2,1,0,0,295000,1,20,28,2,1374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0
120,1,1937,2,2,0,1,525000,3,16,26,1,6185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49.0
121,1,1952,3,3,0,1,639000,4,32,38,1,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.0
122,1,2020,1,1,0,0,393900,1,33,46,1,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76.0
123,1,1946,2,1,0,1,260000,2,4,10,1,2825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43.0
124,2,1930,4,4,2,1,1539000,5,5,37,1,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
125,2,1957,3,2,0,0,923000,2,16,1,2,3680,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
126,2,1923,4,3,0,1,1400000,4,38,46,1,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.0
127,1,1922,4,3,0,1,950000,4,15,37,1,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.0
128,1,1993,3,2,0,1,229900,3,26,41,3,1212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,180.0
129,1,1985,2,2,0,0,342,2,31,39,2,2630,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0
130,1,2007,2,2,0,0,1057500,2,26,31,1,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.0
131,1,1975,2,2,0,1,685000,3,11,35,2,1336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0
132,1,1950,2,1,0,0,307000,1,25,51,2,8485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0
133,2,1962,3,2,1,1,499950,3,29,61,1,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,143.0
134,1,1975,4,4,2,1,1225000,5,21,29,1,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62.0
135,2,1988,5,3,2,1,849000,4,10,1,2,660,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0
