,client_display_flags
34,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
35,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
36,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
37,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
38,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
39,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
40,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
41,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'price_change': 0, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
42,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
43,"{'presentation_status': 'recently_sold', 'is_showcase': False, 'lead_form_phone_required': True, 'is_co_broke_email': True, 'has_open_house': False, 'is_foreclosure': False, 'is_short_sale': False, 'is_co_broke_phone': False, 'is_new_listing': False, 'is_new_plan': False, 'is_new_construction': False, 'is_turbo': False, 'is_office_standard_listing': False, 'suppress_map_pin': False, 'show_contact_a_lender_in_lead_form': False, 'show_veterans_united_in_lead_form': False, 'is_showcase_choice_enabled': False, 'is_recently_sold': True}"
